location,age_range,gender,language,audience_count,wb_population_estimate,wb_year,wb_total_population,wb_male_percentage,wb_female_percentage,linkedin_penetration_rate,audience_per_million_population
Germany,All ages,All genders,French,160000,83901923,2023,83901923,49.3751808952691,50.6248191047309,0.19,1907.0
Germany,All ages,All genders,Spanish,180000,83901923,2023,83901923,49.3751808952691,50.6248191047309,0.21,2145.0
Germany,All ages,All genders,Italian,83000,83901923,2023,83901923,49.3751808952691,50.6248191047309,0.1,989.0
Germany,All ages,All genders,English,24000000,83901923,2023,83901923,49.3751808952691,50.6248191047309,28.6,286048.0
Germany,All ages,All genders,German,18000000,83901923,2023,83901923,49.3751808952691,50.6248191047309,21.45,214536.0
Germany,All ages,male,French,10000,41426726,2023,83901923,49.3751808952691,50.6248191047309,0.02,119.0
Germany,All ages,male,Spanish,11000,41426726,2023,83901923,49.3751808952691,50.6248191047309,0.03,131.0
Germany,All ages,male,Italian,6500,41426726,2023,83901923,49.3751808952691,50.6248191047309,0.02,77.0
Germany,All ages,male,English,2500000,41426726,2023,83901923,49.3751808952691,50.6248191047309,6.03,29797.0
Germany,All ages,male,German,2000000,41426726,2023,83901923,49.3751808952691,50.6248191047309,4.83,23837.0
Germany,All ages,female,French,7900,42475196,2023,83901923,49.3751808952691,50.6248191047309,0.02,94.0
Germany,All ages,female,Spanish,10000,42475196,2023,83901923,49.3751808952691,50.6248191047309,0.02,119.0
Germany,All ages,female,Italian,5500,42475196,2023,83901923,49.3751808952691,50.6248191047309,0.01,66.0
Germany,All ages,female,English,1600000,42475196,2023,83901923,49.3751808952691,50.6248191047309,3.77,19070.0
Germany,All ages,female,German,1300000,42475196,2023,83901923,49.3751808952691,50.6248191047309,3.06,15494.0
Germany,18-24,All genders,French,8100,17701735,2023,83901923,49.3751808952691,50.6248191047309,0.05,97.0
Germany,18-24,All genders,Spanish,6800,17701735,2023,83901923,49.3751808952691,50.6248191047309,0.04,81.0
Germany,18-24,All genders,Italian,4000,17701735,2023,83901923,49.3751808952691,50.6248191047309,0.02,48.0
Germany,18-24,All genders,English,1400000,17701735,2023,83901923,49.3751808952691,50.6248191047309,7.91,16686.0
Germany,18-24,All genders,German,1100000,17701735,2023,83901923,49.3751808952691,50.6248191047309,6.21,13111.0
Germany,18-24,male,French,3600,8740263,2023,83901923,49.3751808952691,50.6248191047309,0.04,43.0
Germany,18-24,male,Spanish,3100,8740263,2023,83901923,49.3751808952691,50.6248191047309,0.04,37.0
Germany,18-24,male,Italian,1900,8740263,2023,83901923,49.3751808952691,50.6248191047309,0.02,23.0
Germany,18-24,male,English,700000,8740263,2023,83901923,49.3751808952691,50.6248191047309,8.01,8343.0
Germany,18-24,male,German,590000,8740263,2023,83901923,49.3751808952691,50.6248191047309,6.75,7032.0
Germany,18-24,female,French,2800,8961471,2023,83901923,49.3751808952691,50.6248191047309,0.03,33.0
Germany,18-24,female,Spanish,2900,8961471,2023,83901923,49.3751808952691,50.6248191047309,0.03,35.0
Germany,18-24,female,Italian,1700,8961471,2023,83901923,49.3751808952691,50.6248191047309,0.02,20.0
Germany,18-24,female,English,550000,8961471,2023,83901923,49.3751808952691,50.6248191047309,6.14,6555.0
Germany,18-24,female,German,440000,8961471,2023,83901923,49.3751808952691,50.6248191047309,4.91,5244.0
Germany,25-34,All genders,French,8400,17701735,2023,83901923,49.3751808952691,50.6248191047309,0.05,100.0
Germany,25-34,All genders,Spanish,9700,17701735,2023,83901923,49.3751808952691,50.6248191047309,0.05,116.0
Germany,25-34,All genders,Italian,5300,17701735,2023,83901923,49.3751808952691,50.6248191047309,0.03,63.0
Germany,25-34,All genders,English,1600000,17701735,2023,83901923,49.3751808952691,50.6248191047309,9.04,19070.0
Germany,25-34,All genders,German,1200000,17701735,2023,83901923,49.3751808952691,50.6248191047309,6.78,14302.0
Germany,25-34,male,French,3900,8740263,2023,83901923,49.3751808952691,50.6248191047309,0.04,46.0
Germany,25-34,male,Spanish,4600,8740263,2023,83901923,49.3751808952691,50.6248191047309,0.05,55.0
Germany,25-34,male,Italian,2600,8740263,2023,83901923,49.3751808952691,50.6248191047309,0.03,31.0
Germany,25-34,male,English,880000,8740263,2023,83901923,49.3751808952691,50.6248191047309,10.07,10488.0
Germany,25-34,male,German,710000,8740263,2023,83901923,49.3751808952691,50.6248191047309,8.12,8462.0
Germany,25-34,female,French,3100,8961471,2023,83901923,49.3751808952691,50.6248191047309,0.03,37.0
Germany,25-34,female,Spanish,4400,8961471,2023,83901923,49.3751808952691,50.6248191047309,0.05,52.0
Germany,25-34,female,Italian,2300,8961471,2023,83901923,49.3751808952691,50.6248191047309,0.03,27.0
Germany,25-34,female,English,590000,8961471,2023,83901923,49.3751808952691,50.6248191047309,6.58,7032.0
Germany,25-34,female,German,460000,8961471,2023,83901923,49.3751808952691,50.6248191047309,5.13,5483.0
Germany,35-54,All genders,French,4500,17701735,2023,83901923,49.3751808952691,50.6248191047309,0.03,54.0
Germany,35-54,All genders,Spanish,6400,17701735,2023,83901923,49.3751808952691,50.6248191047309,0.04,76.0
Germany,35-54,All genders,Italian,3200,17701735,2023,83901923,49.3751808952691,50.6248191047309,0.02,38.0
Germany,35-54,All genders,English,1200000,17701735,2023,83901923,49.3751808952691,50.6248191047309,6.78,14302.0
Germany,35-54,All genders,German,910000,17701735,2023,83901923,49.3751808952691,50.6248191047309,5.14,10846.0
Germany,35-54,male,French,2300,8740263,2023,83901923,49.3751808952691,50.6248191047309,0.03,27.0
Germany,35-54,male,Spanish,3200,8740263,2023,83901923,49.3751808952691,50.6248191047309,0.04,38.0
Germany,35-54,male,Italian,1700,8740263,2023,83901923,49.3751808952691,50.6248191047309,0.02,20.0
Germany,35-54,male,English,740000,8740263,2023,83901923,49.3751808952691,50.6248191047309,8.47,8820.0
Germany,35-54,male,German,570000,8740263,2023,83901923,49.3751808952691,50.6248191047309,6.52,6794.0
Germany,35-54,female,French,1700,8961471,2023,83901923,49.3751808952691,50.6248191047309,0.02,20.0
