location,age_range,gender,language,audience_count,success,error,timestamp
Germany,All,All,Italian,83000,True,,2025-09-10T15:09:19.879104
Germany,All,All,French,160000,True,,2025-09-10T15:09:20.302240
Germany,All,All,Spanish,180000,True,,2025-09-10T15:09:20.744634
Germany,All,All,English,24000000,True,,2025-09-10T15:09:21.227277
Germany,All,male,Italian,6500,True,,2025-09-10T15:09:21.667336
Germany,All,male,French,10000,True,,2025-09-10T15:09:22.106198
Germany,All,male,Spanish,11000,True,,2025-09-10T15:09:22.522309
Germany,All,male,English,2500000,True,,2025-09-10T15:09:22.944952
Germany,All,female,Italian,5500,True,,2025-09-10T15:09:23.367386
Germany,All,female,French,7900,True,,2025-09-10T15:09:23.783264
Germany,All,female,Spanish,10000,True,,2025-09-10T15:09:24.257864
Germany,All,female,English,1600000,True,,2025-09-10T15:09:24.658744
Germany,18-24,All,Italian,4000,True,,2025-09-10T15:09:25.124315
Germany,18-24,All,French,8100,True,,2025-09-10T15:09:25.533151
Germany,18-24,All,Spanish,6800,True,,2025-09-10T15:09:26.010511
Germany,18-24,All,English,1400000,True,,2025-09-10T15:09:26.462111
Germany,18-24,male,Italian,1900,True,,2025-09-10T15:09:26.977783
Germany,18-24,male,French,3600,True,,2025-09-10T15:09:27.434565
Germany,18-24,male,Spanish,3100,True,,2025-09-10T15:09:27.838048
Germany,18-24,male,English,700000,True,,2025-09-10T15:09:28.280518
Germany,18-24,female,Italian,1700,True,,2025-09-10T15:09:28.692780
Germany,18-24,female,French,2800,True,,2025-09-10T15:09:29.148080
Germany,18-24,female,Spanish,2900,True,,2025-09-10T15:09:29.565897
Germany,18-24,female,English,550000,True,,2025-09-10T15:09:29.988469
Germany,25-34,All,Italian,5300,True,,2025-09-10T15:09:30.418535
Germany,25-34,All,French,8400,True,,2025-09-10T15:09:30.850321
Germany,25-34,All,Spanish,9700,True,,2025-09-10T15:09:31.252328
Germany,25-34,All,English,1600000,True,,2025-09-10T15:09:31.651822
Germany,25-34,male,Italian,2600,True,,2025-09-10T15:09:32.131353
Germany,25-34,male,French,3900,True,,2025-09-10T15:09:32.566882
Germany,25-34,male,Spanish,4600,True,,2025-09-10T15:09:32.980833
Germany,25-34,male,English,880000,True,,2025-09-10T15:09:33.395057
Germany,25-34,female,Italian,2300,True,,2025-09-10T15:09:33.794429
Germany,25-34,female,French,3100,True,,2025-09-10T15:09:34.223722
Germany,25-34,female,Spanish,4400,True,,2025-09-10T15:09:34.683960
Germany,25-34,female,English,590000,True,,2025-09-10T15:09:35.105603
Germany,35-54,All,Italian,3200,True,,2025-09-10T15:09:35.531579
Germany,35-54,All,French,4500,True,,2025-09-10T15:09:35.967059
Germany,35-54,All,Spanish,6400,True,,2025-09-10T15:09:36.383805
Germany,35-54,All,English,1200000,True,,2025-09-10T15:09:36.806385
Germany,35-54,male,Italian,1700,True,,2025-09-10T15:09:37.248461
Germany,35-54,male,French,2300,True,,2025-09-10T15:09:37.684066
Germany,35-54,male,Spanish,3200,True,,2025-09-10T15:09:38.118731
Germany,35-54,male,English,740000,True,,2025-09-10T15:09:38.595189
Germany,35-54,female,Italian,1400,True,,2025-09-10T15:09:39.083762
Germany,35-54,female,French,1700,True,,2025-09-10T15:09:39.544148
Germany,35-54,female,Spanish,2900,True,,2025-09-10T15:09:39.960125
Germany,35-54,female,English,400000,True,,2025-09-10T15:09:40.384825
Germany,55+,All,Italian,380,True,,2025-09-10T15:09:40.850886
Germany,55+,All,French,610,True,,2025-09-10T15:09:41.285295
Germany,55+,All,Spanish,550,True,,2025-09-10T15:09:41.793096
Germany,55+,All,English,280000,True,,2025-09-10T15:09:42.228926
Germany,55+,male,Italian,0,True,,2025-09-10T15:09:42.672934
Germany,55+,male,French,390,True,,2025-09-10T15:09:43.110488
Germany,55+,male,Spanish,330,True,,2025-09-10T15:09:43.548091
Germany,55+,male,English,200000,True,,2025-09-10T15:09:44.001446
Germany,55+,female,Italian,0,True,,2025-09-10T15:09:44.417080
Germany,55+,female,French,0,True,,2025-09-10T15:09:44.861854
Germany,55+,female,Spanish,0,True,,2025-09-10T15:09:45.282285
Germany,55+,female,English,66000,True,,2025-09-10T15:09:45.715883
Italy,All,All,Italian,22000000,True,,2025-09-10T15:09:46.162285
Italy,All,All,French,140000,True,,2025-09-10T15:09:46.614642
Italy,All,All,Spanish,160000,True,,2025-09-10T15:09:47.009192
Italy,All,All,English,25000000,True,,2025-09-10T15:09:47.474195
Italy,All,male,Italian,2000000,True,,2025-09-10T15:09:47.882866
Italy,All,male,French,8900,True,,2025-09-10T15:09:48.350347
