location,age_range,gender,wb_population_estimate,wb_year,wb_total_population,wb_male_percentage,wb_female_percentage
Germany,All ages,All genders,83901923,2023,83901923,49.3751808952691,50.6248191047309
Germany,All ages,male,41426726,2023,83901923,49.3751808952691,50.6248191047309
Germany,All ages,female,42475196,2023,83901923,49.3751808952691,50.6248191047309
Germany,18-24,All genders,17701735,2023,83901923,49.3751808952691,50.6248191047309
Germany,18-24,male,8740263,2023,83901923,49.3751808952691,50.6248191047309
Germany,18-24,female,8961471,2023,83901923,49.3751808952691,50.6248191047309
Germany,25-34,All genders,17701735,2023,83901923,49.3751808952691,50.6248191047309
Germany,25-34,male,8740263,2023,83901923,49.3751808952691,50.6248191047309
Germany,25-34,female,8961471,2023,83901923,49.3751808952691,50.6248191047309
Germany,35-54,All genders,17701735,2023,83901923,49.3751808952691,50.6248191047309
Germany,35-54,male,8740263,2023,83901923,49.3751808952691,50.6248191047309
Germany,35-54,female,8961471,2023,83901923,49.3751808952691,50.6248191047309
Germany,55+,All genders,19121285,2023,83901923,49.3751808952691,50.6248191047309
Germany,55+,male,9441169,2023,83901923,49.3751808952691,50.6248191047309
Germany,55+,female,9680116,2023,83901923,49.3751808952691,50.6248191047309
